Company,Inches,ScreenResolution,Cpu_Company,Ram_in_GB,Memory,OpSys,Price,ScreenType,Gpu_Model,Cpu_Model,Memory_Type,Company_freq,Ram_in_GB_freq,Inches_freq,Memory_freq,Gpu_Company_orig,Gpu_Company_Amd,Gpu_Company_Arm,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_freq,ScreenType_Full HD ,ScreenType_IPS Panel ,ScreenType_IPS Panel Full HD ,ScreenType_IPS Panel Quad HD,ScreenType_IPS Panel Retina Display ,ScreenType_IPS Panel Touchscreen ,ScreenType_QHD ,ScreenType_Quad HD,ScreenType_Regular,ScreenType_Touchscreen ,Gpu_Model_freq,ScreenResolution_freq
Lenovo,15.6,1920x1080,Intel,8,1TB,Windows 10,69210.72,IPS Panel Full HD ,GeForce GTX 1060,Core i7 7700HQ 2.8GHz,HDD,301,619,677,260,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,45,809
Acer,15.6,1920x1080,Intel,8,256GB,Linux,52161.12,Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD,107,619,677,508,Nvidia,0,0,0,1,62,1,0,0,0,0,0,0,0,0,0,27,809
Dell,17.3,1920x1080,Intel,16,256GB,Windows 10,153705.34,Full HD ,Quadro M1200,Core i7 7820HQ 2.9GHz,SSD,301,216,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,9,809
Lenovo,15.6,1920x1080,AMD,6,1TB,Windows 10,26586.72,Full HD ,Radeon R5 430,A10-Series 9600P 2.4GHz,HDD,301,41,677,260,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,1,809
Asus,15.6,1920x1080,Intel,16,512GB,Windows 10,78215.04,Full HD ,GeForce 940MX,Core i7 7500U 2.7GHz,SSD,160,216,677,145,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,38,809
Asus,14.0,1366x768,Intel,4,128GB,Windows 10,27119.52,Regular,HD Graphics 620,Core i3 7100U 2.4GHz,SSD,160,375,199,177,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,270,282
Asus,17.3,1920x1080,Intel,16,256GB,Windows 10,113060.16,Full HD ,GeForce GTX 1070,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,160,216,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,30,809
Lenovo,17.3,1600x900,Intel,6,1TB,Windows 10,34578.72,Regular,GeForce GTX 940M,Core i5 7200U 2.5GHz,HDD,301,41,171,260,Nvidia,0,0,0,1,1065,0,0,0,0,0,0,0,0,1,0,1,19
Asus,15.6,1920x1080,Intel,8,128GB,Windows 10,67399.2,Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,160,619,677,177,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,27,809
HP,13.3,1920x1080,Intel,16,256GB,Windows 10,105228.0,Full HD ,HD Graphics 620,Core i7 7600U 2.8GHz,SSD,279,216,164,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Toshiba,15.6,1920x1080,Intel,8,256GB,Windows 10,55571.04,IPS Panel Full HD ,GeForce 930M,Core i7 6500U 2.5GHz,SSD,48,619,677,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,6,809
Lenovo,15.6,1920x1080,Intel,8,128GB,Windows 10,43636.32,Full HD ,GeForce 940MX,Core i5 7200U 2.5GHz,SSD +  1TB HDD,301,619,677,177,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,38,809
HP,15.6,1920x1080,Intel,4,1TB,Windows 10,24988.32,Full HD ,HD Graphics 520,Core i3 6006U 2GHz,HDD,279,375,677,260,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,170,809
Lenovo,13.3,1920x1080,Intel,8,256GB,Windows 10,53226.72,IPS Panel Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,301,619,164,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,270,809
Dell,13.3,3840x2160,Intel,16,1TB,Windows 10,133146.72,IPS Panel ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,301,216,164,260,Intel,0,0,1,0,1065,0,1,0,0,0,0,0,0,0,0,68,43
MSI,15.6,1920x1080,Intel,16,256GB,Windows 10,111834.72,IPS Panel Full HD ,GeForce GTX 1070,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,59,216,677,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,30,809
Acer,15.6,1920x1080,AMD,8,256GB,Windows 10,24988.32,Full HD ,Radeon R5,A8-Series 7410 2.2GHz,SSD,107,619,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,11,809
Asus,11.6,1366x768,Intel,2,32GB,Windows 10,14652.0,Touchscreen ,HD Graphics 500,Celeron Dual Core N3350 1.1GHz,Flash Storage,160,22,33,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,0,1,36,282
Dell,15.6,1920x1080,Intel,8,128GB,Windows 10,44968.32,Full HD ,Radeon 530,Core i5 8250U 1.6GHz,SSD +  1TB HDD,301,619,677,177,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
HP,13.3,3840x2160,Intel,16,1TB,Windows 10,130482.72,IPS Panel ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,279,216,164,260,Intel,0,0,1,0,1065,0,1,0,0,0,0,0,0,0,0,68,43
Lenovo,13.3,1366x768,Intel,4,16GB,Chrome OS,24503.47,Regular,HD Graphics 510,Celeron Dual Core 3855U 1.6GHz,Flash Storage,301,375,164,10,Intel,0,0,1,0,27,0,0,0,0,0,0,0,0,1,0,4,282
HP,14.0,1920x1080,Intel,8,256GB,Windows 10,52214.4,Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,279,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Acer,11.6,1366x768,Intel,4,128GB,Windows 10,25840.8,Regular,HD Graphics 405,Pentium Quad Core N3710 1.6GHz,Flash Storage,107,375,33,177,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,8,282
HP,14.0,1920x1080,Intel,8,256GB,Windows 10,68837.76,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,279,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Lenovo,17.3,1600x900,Intel,4,1TB,Windows 10,31381.92,Regular,GeForce 920MX,Core i5 7200U 2.5GHz,HDD,301,375,171,260,Nvidia,0,0,0,1,1065,0,0,0,0,0,0,0,0,1,0,10,19
Asus,14.0,1920x1080,Intel,8,256GB,Windows 10,58288.32,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,160,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
HP,15.6,1366x768,Intel,8,1TB,Windows 10,48058.56,IPS Panel Full HD ,UHD Graphics 620,Core i7 8550U 1.8GHz,HDD,279,619,677,260,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,68,282
Acer,15.6,1366x768,AMD,8,256GB,Windows 10,35111.52,Regular,Radeon RX 540,A12-Series 9720P 2.7GHz,SSD,107,619,677,508,Amd,1,0,0,0,1065,0,0,0,0,0,0,0,0,1,0,2,282
Lenovo,14.0,1366x768,Intel,4,32GB,Windows 10,15557.76,Regular,HD Graphics 500,Celeron Dual Core N3350 1.1GHz,Flash Storage,301,375,199,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,36,282
Acer,15.6,1366x768,Intel,6,1TB,Windows 10,29250.72,Regular,HD Graphics 620,Core i5 7200U 2.5GHz,HDD,107,41,677,260,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,270,282
Asus,15.6,1920x1080,Intel,8,256GB,Windows 10,55938.67,Full HD ,GeForce 940MX,Core i7 7500U 2.7GHz,SSD,160,619,677,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,38,809
HP,12.5,1920x1080,Intel,8,256GB,Windows 10,71128.8,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,279,619,39,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Dell,15.6,3840x2160,Intel,32,1TB,Windows 10,140605.92,Regular,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,SSD,301,31,677,260,Nvidia,0,0,0,1,1065,0,0,0,0,0,0,0,0,1,0,61,43
MSI,17.3,1920x1080,Intel,8,256GB,Windows 10,63882.72,Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,59,619,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,27,809
Toshiba,15.6,1920x1080,Intel,8,256GB,Windows 10,50243.04,IPS Panel Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,48,619,677,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,270,809
Asus,14.0,1920x1080,Intel,8,256GB,Windows 10,71075.52,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD +  1TB HDD,160,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Lenovo,15.6,1920x1080,Intel,4,1TB,Windows 10,23922.72,Full HD ,HD Graphics 520,Core i3 6006U 2GHz,HDD,301,375,677,260,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,170,809
Asus,15.6,1920x1080,Intel,8,256GB,Windows 10,53226.72,Full HD ,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,SSD,160,619,677,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,61,809
HP,14.0,1920x1080,Intel,8,256GB,Windows 10,67559.04,Full HD ,HD Graphics 620,Core i5 7300U 2.6GHz,SSD,279,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Dell,15.6,1920x1080,Intel,8,128GB,Windows 10,55890.72,IPS Panel Full HD ,GeForce 940MX,Core i5 8250U 1.6GHz,SSD +  1TB HDD,301,619,677,177,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,38,809
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,60952.32,Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,279,619,677,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Asus,15.6,1366x768,Intel,4,1TB,Linux,14651.47,Regular,HD Graphics 500,Celeron Dual Core N3350 1.1GHz,HDD,160,375,677,260,Intel,0,0,1,0,62,0,0,0,0,0,0,0,0,1,0,36,282
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,60885.72,Full HD ,GeForce 940MX,Core i5 8250U 1.6GHz,SSD,301,619,677,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,38,809
Dell,15.6,1366x768,Intel,4,500GB,Linux,14646.67,Regular,HD Graphics,Celeron Dual Core N3060 1.6GHz,HDD,301,375,677,132,Intel,0,0,1,0,62,0,0,0,0,0,0,0,0,1,0,29,282
Lenovo,15.6,1920x1080,AMD,12,2TB,Windows 10,47898.72,Full HD ,Radeon 530,A12-Series 9720P 3.6GHz,HDD,301,25,677,21,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
HP,15.6,1920x1080,Intel,8,1TB,Windows 10,38148.48,IPS Panel Full HD ,GeForce 930MX ,Core i3 7100U 2.4GHz,HDD,279,619,677,260,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,5,809
Lenovo,13.9,3840x2160,Intel,16,512GB,Windows 10,111834.72,IPS Panel ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,301,216,6,145,Intel,0,0,1,0,1065,0,1,0,0,0,0,0,0,0,0,68,43
Dell,13.3,1920x1080,Intel,8,256GB,Windows 10,84129.12,Full HD ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,301,619,164,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
Lenovo,15.6,1920x1080,Intel,16,256GB,Windows 10,60153.12,IPS Panel Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD +  2TB HDD,301,216,677,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,27,809
HP,14.0,1366x768,Intel,2,32GB,Windows 10,14865.12,Regular,HD Graphics 400,Celeron Dual Core N3060 1.6GHz,Flash Storage,279,22,199,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,34,282
Dell,15.6,1920x1080,Intel,16,512GB,Windows 10,85672.11,Full HD ,UHD Graphics 620,Core i7 8650U 1.9GHz,SSD +  256GB SSD,301,216,677,145,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
Asus,11.6,1366x768,Intel,4,32GB,Windows 10,19980.0,Touchscreen ,HD Graphics 500,Celeron Dual Core N3350 1.1GHz,Flash Storage,160,375,33,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,0,1,36,282
Dell,15.6,1920x1080,Intel,8,1TB,Windows 10,35324.64,Full HD ,Radeon 530,Core i5 8250U 1.6GHz,HDD,301,619,677,260,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
Dell,15.6,3840x2160,Intel,16,512GB,Windows 10,108020.94,Regular,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,SSD,301,216,677,145,Nvidia,0,0,0,1,1065,0,0,0,0,0,0,0,0,1,0,61,43
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,69477.12,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,279,619,677,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
MSI,17.3,1920x1080,Intel,8,128GB,Windows 10,75071.52,Full HD ,GeForce GTX 1060,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,59,619,171,177,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,45,809
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,92615.03,Full HD ,Quadro M1200,Core i7 7700HQ 2.8GHz,SSD,279,619,677,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,9,809
Toshiba,15.6,1920x1080,Intel,16,512GB,Windows 10,74751.84,IPS Panel Full HD ,GeForce 930M,Core i7 6500U 2.5GHz,SSD,48,216,677,145,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,6,809
Dell,15.6,1920x1080,Intel,8,128GB,Windows 10,51729.55,Full HD ,Radeon 530,Core i7 8550U 1.8GHz,SSD +  2TB HDD,301,619,677,177,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
Dell,15.6,1920x1080,Intel,8,1TB,Windows 10,53226.72,Full HD ,GeForce GTX 1050,Core i5 7300HQ 2.5GHz,HDD,301,619,677,260,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,61,809
Dell,15.6,1366x768,Intel,8,2TB,Windows 10,29696.67,Touchscreen ,HD Graphics 620,Core i5 7200U 2.5GHz,HDD,301,619,677,21,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,0,1,270,282
Dell,14.0,1920x1080,Intel,8,256GB,Windows 10,76030.56,Full HD ,HD Graphics 620,Core i5 7300U 2.6GHz,SSD,301,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
HP,15.6,1366x768,Intel,4,500GB,Windows 10,23389.92,Regular,HD Graphics 520,Core i3 6006U 2GHz,HDD,279,375,677,132,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,170,282
Asus,14.0,1920x1080,Intel,8,256GB,Windows 10,50349.6,Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,160,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Lenovo,17.3,1600x900,Intel,6,128GB,Windows 10,38308.32,Regular,GeForce GTX 940MX,Core i5 7200U 2.5GHz,SSD +  1TB HDD,301,41,171,177,Nvidia,0,0,0,1,1065,0,0,0,0,0,0,0,0,1,0,3,19
HP,15.6,1920x1080,Intel,8,1TB,Windows 10,34045.92,Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,HDD,279,619,677,260,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
HP,15.6,1366x768,Intel,8,2TB,Windows 10,20725.92,Regular,HD Graphics 405,Pentium Quad Core N3710 1.6GHz,HDD,279,619,677,21,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,8,282
Dell,17.3,1920x1080,Intel,8,128GB,Windows 10,57808.8,Full HD ,Radeon 530,Core i5 8250U 1.6GHz,SSD +  1TB HDD,301,619,171,177,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,47898.72,Full HD ,Radeon R7 M445,Core i7 7500U 2.7GHz,SSD,301,619,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,14,809
HP,14.0,1920x1080,Intel,8,256GB,Windows 10,93240.0,IPS Panel Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,279,619,199,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,270,809
Asus,15.6,1920x1080,Intel,12,512GB,Windows 10,58554.72,Full HD ,GeForce GT 940MX,Core i7 7500U 2.7GHz,SSD +  2TB HDD,160,25,677,145,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,5,809
Acer,15.6,1366x768,AMD,4,128GB,Windows 10,22697.28,Regular,Radeon R5,A9-Series 9420 3GHz,SSD,107,375,677,177,Amd,1,0,0,0,1065,0,0,0,0,0,0,0,0,1,0,11,282
Asus,17.3,1920x1080,AMD,16,256GB,Windows 10,117162.72,IPS Panel Full HD ,Radeon RX 580,Ryzen 1700 3GHz,SSD +  1TB HDD,160,216,171,508,Amd,1,0,0,0,1065,0,0,1,0,0,0,0,0,0,0,5,809
Lenovo,17.3,1600x900,AMD,4,128GB,Windows 10,26053.92,Regular,Radeon R5,A8-Series 7410 2.2GHz,SSD,301,375,171,177,Amd,1,0,0,0,1065,0,0,0,0,0,0,0,0,1,0,11,19
Dell,13.3,1920x1080,Intel,8,256GB,Windows 10,46300.85,Full HD ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,301,619,164,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
HP,15.6,1920x1080,AMD,4,256GB,Windows 10,26053.39,Full HD ,Radeon R5,A9-Series 9420 3GHz,SSD,279,375,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,11,809
Lenovo,11.6,1366x768,Intel,4,128GB,Windows 10,29463.84,IPS Panel ,HD Graphics 500,Celeron Quad Core N3450 1.1GHz,SSD,301,375,33,177,Intel,0,0,1,0,1065,0,1,0,0,0,0,0,0,0,0,36,282
Dell,15.6,1366x768,Intel,4,500GB,Windows 10,16463.52,Regular,HD Graphics 400,Celeron Dual Core N3060 1.60GHz,HDD,301,375,677,132,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,34,282
Asus,14.0,1366x768,Intel,4,32GB,Windows 10,15238.08,Regular,HD Graphics 500,Celeron Dual Core N3350 1.1GHz,Flash Storage,160,375,199,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,36,282
Acer,15.6,1920x1080,Intel,8,1TB,Linux,45074.88,Full HD ,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,HDD,107,619,677,260,Nvidia,0,0,0,1,62,1,0,0,0,0,0,0,0,0,0,61,809
HP,17.3,1920x1080,Intel,8,128GB,Windows 10,63456.48,IPS Panel Full HD ,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,279,619,171,177,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,61,809
Asus,15.6,1920x1080,Intel,8,128GB,Windows 10,88178.4,IPS Panel Full HD ,GeForce GTX 1060,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,160,619,677,177,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,45,809
Lenovo,14.0,1920x1080,Intel,8,256GB,Windows 10,58554.72,IPS Panel Full HD ,GeForce 940MX,Core i5 7200U 2.5GHz,SSD,301,619,199,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,38,809
Asus,13.3,1920x1080,Intel,16,512GB,Windows 10,93181.39,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,160,216,164,145,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Lenovo,14.0,2560x1440,Intel,8,512GB,Windows 10,121584.96,IPS Panel ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,301,619,199,145,Intel,0,0,1,0,1065,0,1,0,0,0,0,0,0,0,0,270,27
Lenovo,13.3,1920x1080,Intel,4,128GB,Windows 10,29250.72,IPS Panel Full HD ,HD Graphics 620,Core i3 7100U 2.4GHz,SSD,301,375,164,177,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,270,809
Dell,15.6,1920x1080,Intel,8,500GB,Windows 10,72940.32,Full HD ,FirePro W5130M,Core i5 6440HQ 2.6GHz,HDD,301,619,677,132,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,1,809
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,113752.8,IPS Panel Full HD ,Quadro M1200,Core i7 6820HQ 2.7GHz,SSD,301,619,677,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,9,809
Lenovo,14.0,2560x1440,Intel,16,512GB,Windows 10,133679.52,Touchscreen ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,301,216,199,145,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,0,1,270,27
Asus,17.3,1920x1080,Intel,8,1TB,Windows 10,55357.92,Full HD ,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,HDD,160,619,171,260,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,61,809
Asus,17.3,1920x1080,Intel,16,256GB,Windows 10,84768.48,Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,160,216,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,27,809
Acer,15.6,1366x768,Intel,12,1TB,Windows 10,36975.79,IPS Panel ,GeForce MX130,Core i5 8250U 1.6GHz,HDD,107,25,677,260,Nvidia,0,0,0,1,1065,0,1,0,0,0,0,0,0,0,0,6,282
MSI,17.3,1920x1080,Intel,8,256GB,Windows 10,71874.72,Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD,59,619,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,27,809
Dell,15.6,1920x1080,Intel,8,256GB,Linux,41498.19,Full HD ,Radeon R7 M445,Core i7 7500U 2.7GHz,SSD,301,619,677,508,Amd,1,0,0,0,62,1,0,0,0,0,0,0,0,0,0,14,809
HP,15.6,1920x1080,AMD,4,256GB,Windows 10,26586.72,Full HD ,Radeon 520,A9-Series 9420 3GHz,SSD,279,375,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,17,809
Lenovo,15.6,1920x1080,Intel,8,256GB,Windows 10,65510.96,IPS Panel Full HD ,Radeon RX 550,Core i7 8550U 1.8GHz,SSD,301,619,677,508,Amd,1,0,0,0,1065,0,0,1,0,0,0,0,0,0,0,4,809
Lenovo,14.0,1920x1080,Intel,8,256GB,Windows 10,49976.64,IPS Panel Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,301,619,199,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,270,809
Dell,15.6,3840x2160,Intel,8,256GB,Windows 10,144495.36,Regular,Quadro M1200,Core i7 7700HQ 2.8GHz,SSD,301,619,677,508,Nvidia,0,0,0,1,1065,0,0,0,0,0,0,0,0,1,0,9,43
Lenovo,14.0,2560x1440,Intel,16,1TB,Windows 10,139860.0,IPS Panel ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,301,216,199,260,Intel,0,0,1,0,1065,0,1,0,0,0,0,0,0,0,0,270,27
Lenovo,15.6,1366x768,Intel,4,1TB,Windows 10,16303.68,Regular,HD Graphics 500,Celeron Dual Core N3350 1.1GHz,HDD,301,375,677,260,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,36,282
Asus,17.3,1920x1080,Intel,16,256GB,Windows 10,81465.12,Full HD ,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,160,216,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,61,809
Lenovo,15.6,1920x1080,Intel,8,256GB,Windows 10,60978.96,IPS Panel Full HD ,Radeon RX 550,Core i5 8250U 1.6GHz,SSD +  1TB HDD,301,619,677,508,Amd,1,0,0,0,1065,0,0,1,0,0,0,0,0,0,0,4,809
Acer,15.6,1920x1080,Intel,8,256GB,Linux,46833.12,Full HD ,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,SSD,107,619,677,508,Nvidia,0,0,0,1,62,1,0,0,0,0,0,0,0,0,0,61,809
MSI,17.3,1920x1080,Intel,16,256GB,Windows 10,119826.72,Full HD ,GeForce GTX 1070,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,59,216,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,30,809
Asus,14.0,1920x1080,Intel,8,512GB,Windows 10,99793.44,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,160,619,199,145,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Toshiba,13.3,1920x1080,Intel,16,512GB,Windows 10,93080.16,Full HD ,HD Graphics 520,Core i7 6500U 2.5GHz,SSD,48,216,164,145,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,170,809
Dell,14.0,1920x1080,Intel,8,512GB,Windows 10,89510.4,Full HD ,HD Graphics,Core i7 7600U 2.8GHz,SSD,301,619,199,145,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,29,809
Lenovo,15.6,1920x1080,Intel,4,500GB,Windows 10,21791.52,Full HD ,HD Graphics 520,Core i3 6006U 2GHz,HDD,301,375,677,132,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,170,809
Lenovo,11.6,1366x768,Intel,2,32GB,Windows 10,16221.1,Regular,HD Graphics 500,Celeron Dual Core N3350 1.1GHz,Flash Storage,301,22,33,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,36,282
Lenovo,15.6,1920x1080,Intel,8,512GB,Windows 10,102564.0,Full HD ,Quadro M1200,Core i7 7700HQ 2.8GHz,SSD,301,619,677,145,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,9,809
Lenovo,14.0,2560x1440,Intel,8,512GB,Windows 10,103523.04,IPS Panel Full HD ,GeForce GT 940MX,Core i7 7700HQ 2.8GHz,SSD,301,619,199,145,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,5,27
HP,15.6,1920x1080,Intel,4,1TB,Windows 10,24988.32,Full HD ,Radeon 520,Core i3 6006U 2GHz,HDD,279,375,677,260,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,17,809
